1,1,1,36,1,1,1,1,36,38,38,36,1,1,1,1,1,1,36,1
1,1,1,36,36,36,36,36,36,38,38,36,36,36,36,36,36,36,36,1
1,1,1,36,1,1,1,1,1,38,38,1,1,1,1,1,19,19,36,1
1,1,1,36,1,1,1,1,8,38,38,1,1,1,1,1,19,19,36,1
1,1,1,36,1,1,1,1,8,38,38,38,38,38,38,38,38,38,36,1
1,1,1,36,56,56,57,58,8,56,56,57,58,38,38,38,38,38,36,1
1,1,1,8,19,19,19,1,8,37,37,37,37,37,37,37,37,37,8,1
1,1,1,8,1,1,1,1,8,37,37,37,37,37,37,37,37,37,8,1
1,1,1,8,1,1,1,1,8,37,37,37,37,37,37,37,37,37,8,1
1,1,1,8,56,57,58,58,8,37,37,37,37,37,37,37,37,37,8,1
1,1,1,8,1,1,19,19,19,1,1,1,38,38,38,38,38,38,8,1
1,1,1,8,1,1,1,1,1,1,1,1,38,38,38,38,38,38,8,1
1,1,1,8,1,1,1,1,1,1,1,1,38,38,37,37,37,37,8,1
1,1,1,8,8,8,56,56,57,58,8,8,8,8,37,37,37,37,8,1
1,1,1,36,1,1,1,1,19,19,19,19,38,38,37,37,37,37,36,1
1,1,1,36,1,1,1,1,19,19,19,19,38,38,37,37,37,37,36,1
1,1,1,36,1,1,38,38,38,38,38,38,38,38,1,1,1,1,36,1
1,1,1,36,1,1,38,38,38,38,38,38,38,38,1,1,1,1,36,1
1,1,1,36,1,1,38,38,1,1,1,1,1,1,1,1,1,1,36,1
1,1,1,36,57,5,57,58,5,56,57,58,57,56,57,58,57,58,36,1
1,1,1,36,1,1,38,38,38,38,38,38,38,38,38,38,38,38,36,1
1,1,1,36,1,1,38,38,38,38,38,38,38,38,38,38,38,38,36,1
1,1,1,36,1,1,1,1,1,1,1,1,37,37,37,37,38,38,36,1
1,1,1,36,8,8,8,8,8,8,8,8,37,37,37,37,57,58,36,1
1,1,1,36,1,1,1,1,19,19,19,19,37,37,37,37,38,38,36,1
1,1,1,36,1,1,1,1,19,19,19,19,37,37,37,37,38,38,36,1
1,1,1,36,38,38,38,38,38,38,38,38,38,38,38,38,38,38,36,1
1,1,1,36,57,58,38,38,38,44,56,57,58,56,57,56,57,58,36,1
1,1,1,8,1,1,37,37,37,37,38,38,1,1,37,37,37,37,8,1
1,1,1,8,1,1,37,37,37,37,38,38,1,1,37,37,37,37,8,1
1,1,1,8,37,37,37,37,19,19,38,38,37,37,37,37,19,19,8,1
1,1,1,8,37,37,37,37,19,19,38,38,37,37,37,37,19,19,8,1
1,1,1,8,36,36,36,36,36,36,37,37,36,36,36,36,36,36,8,1
1,1,1,8,1,1,1,1,1,36,37,37,36,1,1,1,1,1,8,1
1,1,1,8,1,1,1,1,1,36,37,37,36,1,1,1,1,1,8,1
1,1,1,8,1,1,1,1,1,36,37,37,36,1,1,1,1,1,8,1
