30,33,32,36,31,33,31,33,30,36,37,37,36,29,33,29,33,30,36,31
36,36,36,36,36,36,36,36,36,36,37,37,36,36,36,36,36,36,36,36
36,30,84,85,85,85,85,85,85,85,1,1,85,85,85,85,85,86,33,36
36,32,98,1,94,95,96,1,1,1,1,1,94,95,96,1,1,100,29,36
36,29,98,1,108,109,110,1,1,1,1,1,108,109,110,20,21,100,31,36
36,32,98,44,122,123,125,1,1,1,1,44,122,123,125,34,35,100,29,36
36,30,98,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,29,36
36,33,98,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,32,36
36,18,98,1,1,1,1,1,1,1,94,95,95,95,95,96,1,100,30,36
36,32,98,1,59,59,59,44,1,1,108,109,109,109,109,110,1,100,29,36
36,31,98,1,42,43,42,43,1,1,97,111,57,57,57,83,1,100,30,36
36,33,98,1,42,43,42,43,1,1,122,124,123,124,124,125,1,100,30,36
36,30,98,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,32,36
36,18,112,113,113,113,113,1,1,1,59,59,59,48,59,59,1,100,29,36
36,31,32,31,87,88,89,98,1,1,19,19,19,19,19,19,1,100,32,36
36,31,32,33,101,71,103,98,1,1,19,19,19,19,19,19,1,100,31,36
36,30,32,30,101,70,103,112,113,113,113,113,113,113,113,113,113,114,31,36
36,36,36,36,101,71,103,36,36,36,36,36,36,36,36,36,36,36,36,36
